iter	Passed	Remaining
452	732	884
453	733	882
454	734	880
455	735	878
456	737	875
457	738	873
458	739	872
459	741	870
460	742	868
461	743	866
462	744	864
463	746	861
464	747	859
465	748	857
466	749	855
467	750	853
468	751	851
469	752	848
470	754	847
471	755	845
472	757	843
473	758	841
474	759	839
475	761	837
476	762	835
477	763	833
478	764	831
479	765	829
480	766	827
481	768	825
482	769	824
483	771	822
484	772	820
485	773	818
486	775	816
487	776	814
488	777	812
489	778	810
490	780	808
491	781	806
492	782	804
493	784	803
494	785	801
495	786	799
496	787	797
497	788	795
498	789	793
499	790	790
500	792	788
501	793	786
502	794	784
503	795	782
504	796	780
505	797	778
506	799	777
507	801	775
508	802	773
509	803	772
510	804	770
511	805	768
512	807	766
513	808	764
514	809	762
515	810	760
516	812	758
517	813	757
518	815	755
519	816	753
520	817	751
521	818	749
522	820	747
523	821	745
524	822	744
525	823	742
526	824	740
527	825	738
528	827	736
529	828	734
530	829	732
531	831	731
532	832	729
533	833	727
534	834	725
535	835	723
536	836	721
537	837	719
538	838	717
539	839	715
540	840	713
541	841	711
542	842	709
543	844	707
544	846	706
545	847	704
546	848	702
547	850	701
548	851	699
549	852	697
550	853	695
551	855	693
552	856	692
553	858	691
554	859	689
555	862	688
556	863	687
557	865	685
558	866	683
559	867	681
560	869	680
561	870	678
562	873	677
563	875	676
564	877	675
565	879	674
566	881	672
567	882	671
568	884	669
569	885	667
570	887	666
571	889	665
572	892	665
573	894	663
574	896	662
575	898	661
576	899	659
577	904	660
578	908	660
579	910	659
580	913	658
581	914	656
582	916	655
583	917	653
584	920	653
585	923	652
586	926	651
587	928	650
588	929	648
589	931	647
590	932	645
591	934	643
592	935	642
593	938	641
594	941	640
595	943	639
596	945	638
597	946	636
598	948	634
599	949	633
600	952	632
601	954	631
602	956	629
603	958	628
604	959	626
605	961	624
606	962	623
607	963	621
608	965	620
609	967	618
610	969	617
611	971	615
612	972	613
613	973	612
614	974	610
615	976	608
616	978	607
617	979	605
618	981	603
619	983	602
620	984	601
621	986	599
622	987	597
623	989	596
624	990	594
625	992	592
626	993	591
627	996	590
628	998	589
629	1000	587
630	1002	585
631	1003	584
632	1004	582
633	1006	580
634	1008	579
635	1011	578
636	1014	578
637	1015	576
638	1018	575
639	1019	573
640	1021	571
641	1022	570
642	1026	570
643	1029	569
644	1032	568
645	1036	567
646	1047	571
647	1052	571
648	1054	570
649	1060	570
650	1062	569
651	1065	568
652	1067	567
653	1069	565
654	1071	564
655	1081	567
656	1084	565
657	1088	565
658	1094	566
659	1097	565
660	1103	565
661	1108	566
662	1116	567
663	1131	572
664	1135	571
665	1138	571
666	1148	573
667	1151	572
668	1172	580
669	1183	582
670	1192	584
671	1199	585
672	1212	589
673	1216	588
674	1221	587
675	1224	586
676	1227	585
677	1228	583
678	1231	582
679	1236	581
680	1238	580
681	1242	579
682	1244	577
683	1247	576
684	1249	574
685	1251	573
686	1253	571
687	1255	569
688	1256	567
689	1258	565
690	1259	563
691	1260	561
692	1262	559
693	1264	557
694	1267	556
695	1269	554
696	1271	552
697	1273	551
698	1274	548
699	1276	546
700	1278	545
701	1282	544
702	1284	542
703	1285	540
704	1287	538
705	1289	536
706	1290	534
707	1292	532
708	1295	531
709	1298	530
710	1300	528
711	1302	527
712	1305	525
713	1307	523
714	1313	523
715	1315	521
716	1317	520
717	1319	518
718	1321	516
719	1323	514
720	1329	514
721	1331	512
722	1333	510
723	1335	508
724	1336	506
725	1338	505
726	1346	505
727	1348	503
728	1349	501
729	1351	499
730	1352	497
731	1355	496
732	1359	495
733	1360	493
734	1362	491
735	1364	489
736	1366	487
737	1368	485
738	1370	484
739	1372	482
740	1374	480
741	1375	478
742	1377	476
743	1379	474
744	1381	472
745	1383	470
746	1384	469
747	1387	467
748	1388	465
749	1390	463
750	1391	461
751	1392	459
752	1394	457
753	1396	455
754	1398	453
755	1400	452
756	1402	450
757	1404	448
758	1407	446
759	1408	444
760	1411	443
761	1413	441
762	1415	439
763	1417	438
764	1419	436
765	1420	434
766	1422	432
767	1424	430
768	1425	428
769	1428	426
770	1431	425
771	1433	423
772	1435	421
773	1437	419
774	1438	417
775	1440	415
776	1442	413
777	1443	411
778	1446	410
779	1449	408
780	1450	406
781	1453	405
782	1454	403
783	1455	401
784	1457	399
785	1458	397
786	1460	395
787	1464	393
788	1466	392
789	1467	390
790	1469	388
791	1470	386
792	1472	384
793	1476	383
794	1480	381
795	1482	379
796	1483	377
797	1485	376
798	1486	374
799	1488	372
800	1495	371
801	1498	369
802	1500	368
803	1502	366
804	1503	364
805	1507	362
806	1510	361
807	1511	359
808	1514	357
809	1516	355
810	1518	353
811	1519	351
812	1521	349
813	1523	348
814	1526	346
815	1528	344
816	1530	342
817	1531	340
818	1533	338
819	1534	336
820	1536	334
821	1538	333
822	1541	331
823	1543	329
824	1544	327
825	1546	325
826	1547	323
827	1549	321
828	1550	319
829	1553	318
830	1554	316
831	1556	314
832	1557	312
833	1558	310
834	1560	308
835	1562	306
836	1563	304
837	1566	302
838	1569	301
839	1570	299
840	1571	297
841	1573	295
842	1575	293
843	1576	291
844	1578	289
845	1579	287
846	1581	285
847	1583	283
848	1585	281
849	1587	280
850	1589	278
851	1591	276
852	1592	274
853	1593	272
854	1595	270
855	1598	268
856	1600	267
857	1601	265
858	1603	263
859	1604	261
860	1606	259
861	1607	257
862	1609	255
863	1618	254
864	1620	252
865	1622	251
866	1624	249
867	1627	247
868	1631	245
869	1632	243
870	1634	242
871	1635	240
872	1637	238
873	1638	236
874	1641	234
875	1642	232
876	1645	230
877	1646	228
878	1648	226
879	1649	224
880	1650	223
881	1652	221
882	1653	219
883	1654	217
884	1656	215
885	1658	213
886	1660	211
887	1661	209
888	1662	207
889	1664	205
890	1665	203
891	1666	201
892	1668	199
893	1669	197
894	1670	195
895	1672	194
896	1674	192
897	1675	190
898	1677	188
899	1678	186
900	1679	184
901	1680	182
902	1682	180
903	1683	178
904	1685	176
905	1686	175
906	1689	173
907	1694	171
908	1695	169
909	1697	167
910	1698	165
911	1700	164
912	1702	162
913	1705	160
914	1706	158
915	1708	156
916	1709	154
917	1710	152
918	1712	150
919	1713	149
920	1715	147
921	1718	145
922	1720	143
923	1722	141
924	1723	139
925	1724	137
926	1726	135
927	1727	134
928	1729	132
929	1730	130
930	1733	128
931	1735	126
932	1736	124
933	1738	122
934	1740	120
935	1742	119
936	1743	117
937	1745	115
938	1747	113
939	1750	111
940	1751	109
941	1753	107
942	1755	106
943	1756	104
944	1758	102
945	1759	100
946	1760	98
947	1762	96
948	1764	94
949	1765	92
950	1767	91
951	1769	89
952	1770	87
953	1771	85
954	1772	83
955	1774	81
956	1775	79
957	1777	77
958	1779	76
959	1781	74
960	1782	72
961	1784	70
962	1785	68
963	1786	66
964	1788	64
965	1789	62
966	1791	61
967	1793	59
968	1795	57
969	1797	55
970	1798	53
971	1800	51
972	1801	49
973	1803	48
974	1805	46
975	1807	44
976	1809	42
977	1811	40
978	1813	38
979	1814	37
980	1816	35
981	1817	33
982	1819	31
983	1826	29
984	1827	27
985	1828	25
986	1830	24
987	1831	22
988	1832	20
989	1833	18
990	1835	16
991	1837	14
992	1839	12
993	1840	11
994	1842	9
995	1844	7
996	1845	5
997	1846	3
998	1848	1
999	1849	0
